U10,V10
141.75,141.75
37.5,37.5
7.866323352,-3.137803132
6.886555762,-4.111495385
6.312438554,-3.972887429
6.29359687,-3.582265007
6.694813915,-4.811408287
9.290533028,-5.892779449
9.509983235,-6.282256351
8.131215269,-5.142463654
6.367855273,-2.473401358
3.318827399,-0.104465381
1.834767666,-0.271711345
2.484251612,-1.276332647
6.740255624,-3.158422497
4.471495152,-4.216883253
3.12930222,-2.169838479
1.160900364,-1.044937546
2.124042939,4.849909909
3.47621088,0.295321203
2.534126659,-10.25950283
3.86856125,-10.4496592
1.125433664,-9.029214026
-1.152193483,-5.314291698
-3.273545483,-0.06093561
-1.218693546,5.832766325
1.183067052,8.350619941
3.57485264,5.701031491
4.643286981,-0.315241116
4.761878759,-2.827367131
2.766876878,-2.026648442
2.63831009,3.358442481
3.996019704,4.032008416
3.689011081,0.046743298
4.584545258,-2.993467574
2.980785413,-4.601778073
-1.790594085,-4.959180406
-1.225343552,-2.443617831
0.231007821,4.389410749
5.987696581,3.420300577
8.985741074,-0.107901942
8.787349221,-9.922719859
5.828096431,-10.14724184
8.607799051,-5.882469766
8.45817391,-6.332659244
8.899290993,-7.415175926
6.544080439,-7.407157284
6.000996594,-5.749589412
4.378395064,-5.756462534
3.849719566,-8.517166453
1.138733677,-10.32479748
2.644960097,-8.453017316
5.560987846,-5.161937499
10.80340945,-5.879033206
10.83333448,-5.930581619
8.648807423,-3.828551871
6.552947114,0.060489542
5.539929493,-1.440142049
8.103506909,-0.900601989
6.15948841,-5.08976972
5.682904627,-3.221426113
8.840549271,-4.82057245
10.47312581,-4.971781129
11.35979331,-6.268510107
9.358141425,-6.150521516
8.106831912,-1.956771704
4.686512021,2.12586264
5.252870889,2.829212103
6.818947365,1.535919686
3.325477405,1.086875729
2.039809526,6.034377898
8.55681567,6.546425471
12.77513631,-8.580170069
12.58339447,-9.201042071
12.44706934,-9.039523709
10.94527625,-8.526330615
10.23150892,-9.494295267
7.743298236,-5.840085515
7.529389701,-2.913281153
6.90872245,2.246142271
7.666823164,-0.836452852
3.213535633,-2.204204088
3.427444168,6.494877058
14.64822141,-0.372517131
14.74907984,-6.654550448
11.33762662,-7.759977535
8.265323729,-9.248008403
6.875472418,-4.445987312
7.101572631,1.833754963
10.15392551,3.246181491
7.235681091,-1.333608662
7.272256126,-2.492875204
4.09133646,-2.616591396
4.253153279,-2.331356841
5.666279612,-2.951083323
9.153099565,-4.58917735
7.605864773,-7.324679822
4.693162028,-4.780479239
3.364269108,0.530152864
3.644677706,3.710117212
2.452109915,0.097146191
0.243199499,-4.661345128
0.697616594,-3.318795339
5.718371327,-2.120581107
9.314916385,-3.734619207
6.902072443,-5.793119183
4.059194763,-5.334911064
7.023989225,-4.810262767
9.627466679,-10.89641211
8.341798801,-11.6180899
5.836963106,-9.746309733
7.061672594,-9.325903783
5.676254621,-9.765783578
4.024836398,-9.291538174
-0.251117634,-8.451871796
-3.865396041,-4.573140065
-6.46000682,-1.678410271
-8.951542502,2.080041828
-11.10060286,8.186810538
-3.900862741,14.67160095
13.49555366,-7.43235873
2.837810278,-9.707362043
-5.64981439,-7.529727956
-5.519030933,-2.733434466
-7.212565863,2.635619172
-6.400156764,11.26711462
0.982458529,12.85938784
6.049763306,-1.800980943
4.212144907,-7.174616663
4.489228502,-7.372791675
10.78678444,-5.919126416
13.49555366,-3.962577746
12.12232736,-5.278780569
7.769898261,-3.647559664
3.411927486,-0.279729987
2.017642839,2.885342597
1.273950471,4.167179811
4.733062065,0.167022929
3.357619102,0.461421646
9.048916134,-2.532968414
7.342081191,-9.076180358
4.423836774,-7.963880149
0.50919975,-6.999352057
-2.988703548,-1.21218351
-4.524854996,4.324116092
-8.554758795,8.745824444
0.679883244,12.15947493
16.46145646,-10.48402481
12.41714431,-3.012941419
9.925608627,-4.01527168
9.206299616,-4.861811181
8.240940372,-3.796477303
7.359814542,-5.509030149
4.223228251,-3.779294499
1.758292594,-2.035812604
3.804277856,-4.749550191
4.940320594,-6.769102477
5.905679837,-6.466685119
4.105744807,-7.680936635
1.343775537,-4.452860434
-1.135568467,0.149840125
-1.822735782,2.797137534
-0.840751523,6.898100203
-0.643468003,8.295634967
6.058629982,6.029795816
4.944753931,5.423815579
5.721696331,-2.995758615
8.305223766,-5.195157587
8.52134897,-5.55026888
9.548774938,-3.711708801
9.463433191,-4.890449188
10.10294213,-2.924736356
8.71641582,-4.221465334
6.695922249,-3.893846528
3.754402809,-5.58921657
-0.956018298,-3.727746085
-3.487454018,1.865829532
-1.904752526,4.869383754
-0.838534854,6.718253516
2.759118538,4.146560446
7.196889388,-4.35892777
7.180264372,-7.455269136
2.887685325,-5.808010947
-1.474718787,-2.447054392
2.523043315,-0.007096156
9.28831636,-6.182596085
8.656565764,-1.236239436
6.495313727,-0.913202712
1.754967591,-2.762072474
-0.243359293,-2.937337079
-3.354453893,-0.741374667
-6.089823138,-0.040316245
-2.366927962,2.603544604
9.081057831,-7.858492281
12.06691065,-8.368248814
10.19382555,-5.827484792
7.117089313,-3.146967294
3.957228,6.589955242
11.18689315,-0.590165988
13.34592852,-6.846997858
11.08935972,-10.60430444
7.785414943,-6.212379612
4.017078057,-2.471110318
1.661867503,1.839482565
2.366768168,6.368869825
3.283360698,5.288644183
4.000453041,3.847579648
3.902919616,5.537222088
5.139820782,4.927805289
4.533561877,-8.541222379
0.571266475,-9.205624152
-2.15634443,-4.958034886
-3.516270712,-0.63827784
-3.061853617,1.366382682
-6.102014816,0.845170946
-8.164625094,-0.200689086
-12.77307944,-2.941919161
-14.11859737,-7.950133905
-11.75230348,-10.21024545
-7.528441161,-14.4681444
-1.149976814,-16.82218862
0.362899612,-16.41323787
-0.461701165,-14.24362242
-2.226169496,-11.07396776
-3.166037048,-8.310972799
-2.431211356,-5.908816733
-2.559778143,-2.623464518
-3.455312321,0.05361642
-3.600504125,-0.619949516
-3.450878983,-3.032415264
-1.901427523,-5.924854017
-1.560060534,-7.496507867
1.051175261,-7.35675439
0.450458028,-4.715184582
0.184457777,-5.74386181
-1.735177366,-4.402457541
1.833659332,-4.647598885
0.628899863,-6.422009827
2.889901994,-7.811525949
4.198844895,-7.351026789
7.815339971,-11.21486676
6.608363833,-9.957085468
6.705897258,-10.93650532
5.629704577,-8.721069066
6.108505029,-9.128874292
4.826162153,-7.89171237
4.581220255,-6.349842048
3.032877129,-3.941958381
1.442417296,-3.701399118
-0.360842737,-4.415058264
-1.248618574,-5.212340392
-1.783944079,-9.228534558
-0.12365918,-11.46917226
0.360682943,-12.44630108
0.669908235,-8.984538734
-0.337567715,-5.227232156
1.117675323,1.132696541
2.967485401,4.095012032
3.060585488,5.145454146
2.615035068,0.394981469
3.625836021,-4.74496811
4.925912247,-8.002827839
4.253153279,-7.766850657
1.298333827,-5.260452244
-1.256376915,-3.13207553
-1.070176739,0.09256411
-2.305969571,4.923223208
-1.659810628,6.69648863
5.099920744,-1.755160131
5.87353814,-5.576615847
4.652153656,-4.196263887
3.370919114,-3.929357658
1.241808774,-3.088545759
-1.186551849,-3.036997345
-1.842685801,5.694158369
3.052827148,9.134155825
6.184980101,3.155685388
7.815339971,-4.649889925
11.2755599,-9.876899047
13.08879494,-11.12207961
10.65600098,-12.69144242
6.885447428,-10.3030326
2.659368444,-8.997139458
-1.366102018,-4.696856258
-1.072393408,-1.795253342
-0.797526482,-1.921260575
-1.855985813,-2.630337639
-2.324811255,-5.401351241
2.989652088,-6.449502314
5.966638228,-7.639697904
3.941711319,-6.144793915
2.003234492,-1.947607542
0.074732674,3.419155056
-5.834906231,-3.796477303
-2.493278081,-7.349881269
0.407232987,-6.997061017
2.428834893,-5.613272496
3.278927361,-8.203293891
5.682904627,-5.287944732
6.443222011,-7.249075482
3.331019077,-3.287866291
0.051457652,5.1202527
3.480644218,11.32668168
5.484512774,7.642688397
2.744710191,-2.127454228
5.347079311,-8.168928282
9.399149797,-7.064646714
9.660716711,-7.701556
7.493923001,-7.231892678
3.108243867,-6.033678446
0.528041434,-3.655578306
-2.211761149,2.755898804
-0.788659807,7.035562638
1.451283971,7.225719008
2.930910366,3.232435248
-1.42484374,-2.576498185
2.274776414,-6.155103597
1.348208874,-10.02008908
-1.234210227,-9.913555696
-2.907795138,-6.684333975
-1.5234855,-3.596011251
0.225466149,-3.810223547
0.086924352,-0.975060808
2.548535006,1.078857087
6.047546638,-8.756580195
5.542146161,-8.624845361
4.943645597,-8.272025109
1.285033815,-4.460879076
-0.647901341,-0.008241676
-1.428168743,3.760520105
-2.483303071,8.396440753
-3.359995564,12.41607148
-0.947151623,14.10685944
11.74992701,-5.20661279
14.0674542,-5.488410784
14.68147144,-9.172404063
13.17413669,-7.417466966
10.95746793,-2.696777817
9.16196624,-3.159568017
2.657151775,2.09035151
0.800691691,1.062819803
2.059759545,-2.079342376
5.474537764,-2.811329846
3.509460912,-5.363549071
4.729737062,-6.518233532
1.726150897,-4.985527373
-0.292126006,1.074275006
4.307461664,4.128232121
4.633311971,3.529125005
3.966094675,0.838297824
-1.268568593,-1.676119231
-3.150520367,1.233502327
-4.916097031,3.120174259
-2.297102896,5.46619983
-1.101210102,10.15023233
4.044786416,9.901654425
6.437680339,13.44360319
14.2481127,8.380403469
20.09125154,-2.963684046
18.99732551,-6.143648394
15.72330576,-11.18508323
8.478123929,-12.41193547
6.39999697,-8.743979472
2.749143528,-6.341823406
-1.688627322,-4.458588036
-2.508794762,-0.948713841
-5.98896471,2.477537371
-6.722682068,2.97125662
-9.536743054,6.009176451
-9.102275978,3.991915206
-1.428168743,-0.012823758
7.037289237,-8.914661996
7.877406696,-8.742833952
6.608363833,-7.73821265
6.421055323,-7.00966174
4.864953856,-5.888197368
1.763834266,-7.743940251
-0.090409149,-6.77941216
-2.442294699,-4.124096108
-4.97151375,-1.416086123
-3.736829253,-0.233909175
-3.328962202,-4.254685422
-2.567536484,-2.653248045
-3.355562227,-2.894952828
-2.43231969,0.70656299
-0.250009299,-0.915493753
-0.737676426,1.509572719
-1.093451761,4.245075192
-1.02473503,6.076762149
0.027074295,8.477772694
-0.867351548,10.72299248
0.907091792,13.81933385
-1.560060534,16.13328485
6.457630358,11.69324817
9.677341726,-1.913241933
3.662411056,1.05365564
8.724174161,-5.443735492
9.124282872,-1.686428913
10.98185129,-1.159489576
6.815622362,-0.268274784
3.768811156,5.970228761
6.276971854,7.182189237
4.424945108,7.268103259
2.101876251,8.910779367
5.618621233,-0.348461205
9.239549647,-6.181450564
7.644656477,-7.041736308
8.150056953,-9.918137778
7.83528999,-10.10027551
4.864953856,-9.936466102
0.290857877,-8.258278865
-4.560321696,-2.200767527
-2.407936334,4.486779975
2.547426671,7.918758788
4.544645221,9.65078548
2.910960347,-5.261597765
-1.126701792,-7.939824222
0.623358191,-6.307457797
0.505874747,-4.74267707
-1.561168869,-0.347315685
-0.683368041,1.369819243
-1.320660309,-0.534035493
-5.291822386,3.636803913
-0.922768267,9.138737906
4.107961476,5.672393483
10.95525126,-2.664703248
15.10374684,0.195660937
16.70085668,-3.78616762
13.95772909,-8.478218763
10.35785903,-7.639697904
7.265606119,-7.378519276
6.67597223,-4.612087756
4.18000321,-4.332580803
-0.281042662,-2.138909431
0.137907733,5.875150576
1.697334203,10.00360573
2.900985338,8.276161122
2.560726684,2.854413549
-0.090409149,-6.566345385
-4.78420524,-7.221582995
-4.310946461,-8.441562113
-3.531787393,-7.270840368
-1.251943577,-6.419718786
0.273124527,-3.299321494
5.897921497,-5.955783066
6.151730069,-8.014283042
3.799844519,-6.038260527
3.561552627,-0.315241116
2.763551875,6.766365368
5.329345961,4.806380138
3.338777417,5.945027314
2.17502632,7.674762965
4.34182003,8.372384827
4.449328464,5.963355639
3.851936235,6.856861472
2.035376189,8.724059558
3.990478032,5.557841453
2.5773517,2.554287231
1.23072543,-4.660199608
-5.475805892,-2.646374924
-5.598831008,-0.296912792
-4.246663067,-3.829697392
-5.679739418,-3.467712977
